uid	name	tla	div_0_name	div_1_name	tier	divisions	active	real_life_tier_name	real_life_name	prestige	completion
2	ACC	Atl	A	C	1	2	0	FBS	Atlantic Coast	3	champ
3	AAC	Ame	American	Not Used	1	1	1	FBS	American	2	champ
4	Big 12	C12	C12	Not Used	1	1	1	FBS	Big 12	3	champ
5	Big Ten	L.X	West	East	1	2	1	FBS	Big 10	3	champ
6	C-USA	U.S	East	West	1	1	1	FBS	Conference USA	2	champ
7	FBS Ind.	Ind	Independents	Not Used	1	1	1	FBS	Independents	0	no_completion
8	MAC	Mid	East	West	1	2	1	FBS	Mid-American	2	champ
9	MWC	Mtn	East	West	1	2	0	FBS	Mountain West (2022)	2	champ
10	Pac-12	Pac	Pacific	Not Used	1	1	1	FBS	Pacific 12	3	champ
11	SEC	E.S	East	West	1	2	1	FBS	Southeastern	3	champ
12	Sun Belt	Sun	East	West	1	2	1	FBS	Sun Belt	2	champ
20	ASUN	Sol	Sol	Not Used	2	1	0	FCS	ASUN	1	end_season
21	Big Sky	Sky	Sky	Not Used	2	1	1	FCS	Big Sky	1	end_season
22	Big South	KoS	Southern	Not Used	2	1	0	FCS	Big South	1	end_season
23	CAA	Pil	Pilgrim	Not Used	2	1	0	FCS	Colonial	1	end_season
24	Ivy League	Aca	Academic	Not Used	2	1	1	FCS	Ivy	1	end_season
25	MEAC	Eas	Eastern	Not Used	2	1	1	FCS	MEAC	1	end_season
26	MVFC	MO.	Missouri	Not Used	2	1	1	FCS	Missouri Valley	1	end_season
27	NEC	N.E	Northeast	Not Used	2	1	1	FCS	Northeast	1	end_season
28	OVC	OH.	Ohio	Not Used	2	1	0	FCS	Ohio Valley	1	end_season
29	Patriot	Rev	Revolution	Not Used	2	1	1	FCS	Patriot	1	end_season
30	Pioneer	Hom	Homestead	Not Used	2	1	1	FCS	Pioneer	1	end_season
31	SoCon	Sou	South	Not Used	2	1	1	FCS	Southern	1	end_season
32	Southland	SSW	South-Southwest	Not Used	2	1	1	FCS	Southland	1	end_season
33	SWAC	S.W	East	West	2	2	1	FCS	Southwestern	1	champ
34	WAC	Wes	Western	Not Used	2	1	0	FCS	Western Athletic	1	end_season
13	MWC	Mtn	Mountain	Not Used	1	1	1	FBS	Mountain West (2023)	2	champ
14	ACC	Atl	A	C	1	1	1	FBS	Atlantic Coast	3	champ
35	CAA	Lit	Littoral	Not Used	2	1	1	FCS	Coastal (formerly Colonial)	1	end_season
36	BS-OVC	Val	Big Valley	Not Used	2	1	1	FCS	Big South-OVC	1	end_season
37	UAC	Uni	Unified	Not Used	2	1	1	FCS	United Athletic	1	end_season
38	FCS Ind.	Ind	Independents	Not Used	2	1	1	FCS	Independents	0	no_completion
